Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2027,3,13,324.1552778,306.6797606,294.147696,286.9282854,281.1151724,280.9241093,288.8326019,298.7800013,317.5688537,336.3093304,348.8410262,354.3609858,356.1303589,355.7597918,358.711607,363.2170635,367.4861575,370.127671,371.6353077,378.7134789,386.9693577,374.4340846,358.7221829,338.6093211
2027,3,14,307.6023543,292.6179181,280.588048,273.2172654,268.6594525,267.3698958,270.0226188,272.9702877,285.8054923,304.8808463,316.0707877,319.8636176,321.5956644,323.6048058,325.8689657,329.8085098,336.6762513,342.0825153,342.4420257,348.9769566,356.1220218,350.0039758,337.2869127,316.135172
2027,3,15,295.4492278,283.2135639,269.5841101,262.3062963,257.979511,258.1087637,261.7067984,268.440243,286.9190618,306.8269777,320.3522958,328.0979374,331.7962419,334.4432723,338.8521468,345.2870049,349.791344,353.6896916,355.1581837,364.8752783,376.1328024,368.1162974,353.2473862,328.3045964
2027,3,16,303.4878073,287.4666036,277.0576143,270.386521,266.3349336,267.0686168,278.7908688,296.0468447,311.0419109,326.3085354,338.5349643,343.0789583,348.8039195,353.8045472,358.4669297,368.4783454,373.1634425,373.9086593,372.4623053,379.2223005,389.3463364,382.3460551,369.2369357,344.7495249
2027,3,17,318.312041,300.9997569,288.4410668,281.4298122,276.916725,277.3757439,288.5182032,303.8021263,319.6856665,334.9673099,345.0677212,355.2526602,362.6191959,369.3982763,375.4188401,382.2041457,389.6763482,395.7553489,393.0312287,394.7149204,403.3350456,395.2260827,379.8711927,353.8797385
2027,3,18,325.8777399,304.999513,291.4918281,283.5591123,277.2029368,275.1648294,285.0564346,297.4317148,311.5203633,324.8024538,337.3397104,346.1756674,354.2357026,360.0981751,365.7630693,375.3632476,383.3929747,386.114979,383.5299409,382.9620035,392.3860971,383.4488499,369.6372753,346.4327026
2027,3,19,318.1223907,299.3287231,285.416307,277.1151012,271.8261451,272.0746869,281.3334971,296.2902622,313.1703645,330.3779548,345.4093881,354.191808,360.471987,366.2248289,372.1111855,380.1697201,388.2398387,394.3695543,389.9096717,389.1270998,398.1064608,388.2884862,374.6318767,351.9622332
2027,3,20,328.6576574,310.1555686,295.5206374,285.7201106,280.1070478,279.1108429,282.9262639,289.0672236,308.7528073,330.9317865,350.3699594,352.2816418,363.6937221,372.7778876,379.3293327,386.8784763,393.9510658,397.1346339,394.8429788,390.8969387,396.4391663,383.0871562,366.7856989,346.012524
2027,3,21,325.6280032,307.5874486,293.4832869,284.5067512,278.2137299,275.5777925,277.2736558,278.3591668,291.7685044,309.6916917,321.5276315,329.2331754,331.2207101,335.3135953,340.0052798,343.351338,345.2037117,348.5601914,344.3168929,347.5854813,358.139807,351.8373582,338.3356545,316.0887222
2027,3,22,293.4920753,278.4988275,266.5452145,260.4311052,256.6315364,256.6074965,263.5584631,275.4614076,297.68792,316.4175531,328.650087,335.7874864,338.3037181,339.6905133,342.7228235,349.5165866,354.2187556,357.7176848,357.242117,361.8302686,373.4485459,364.2514817,348.7073496,322.3478365
